order,name,scale_m,asset_file,label,dimension_label,origin,weight,year,speed,crew,units_built,cost,fact,image_url
1,micro_drone,0.3,micro_drone.glb,Micro Drone 0.3m,LENGTH,USA,32 g,2018,45 km/h,0,,,Fits in the palm of a hand and flies for 25 minutes,https://cdn.pixabay.com/photo/2020/03/08/11/48/drone-4910168_1280.jpg
2,soldier,1.8,soldier.glb,Soldier 1.8m,HEIGHT,,,,,1,,,Carries up to 45 kg of gear on foot patrol,https://cdn.pixabay.com/photo/2014/12/06/22/06/soldier-557946_1280.png
3,willys_jeep,3.4,willys_jeep.glb,Willys MB 3.4m,LENGTH,USA,1050 kg,1941,105 km/h,4,647000,$648,Built in under 3 months from contract to first unit,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e6/Willys_MB_-_USA_-_1943.jpg/1280px-Willys_MB_-_USA_-_1943.jpg
4,humvee,4.6,humvee.glb,HMMWV 4.6m,LENGTH,USA,2340 kg,1984,113 km/h,4,281000,$220000,Can drive through 76 cm of water without preparation,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/HMMWV_in_Iraq.jpg/1280px-HMMWV_in_Iraq.jpg
5,sherman_m4,5.8,sherman_m4.glb,M4 Sherman 5.8m,LENGTH,USA,30300 kg,1942,39 km/h,5,49234,$44500,More Shermans were built than every German tank combined,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/M4_Sherman_tank.jpg/1280px-M4_Sherman_tank.jpg
6,t90m,9.5,t90m.glb,T-90M 9.5m,LENGTH,Russia,48000 kg,2017,60 km/h,3,,$4500000,Its armour is layered with explosive tiles that detonate outward,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/T-90M_tank.jpg/1280px-T-90M_tank.jpg
7,m1_abrams,9.8,m1_abrams.glb,M1A2 Abrams 9.8m,LENGTH,USA,66800 kg,1980,67 km/h,4,10300,$9000000,Powered by a jet engine that runs on almost any fuel,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/M1A2_Abrams_tank.jpg/1280px-M1A2_Abrams_tank.jpg
8,panzer_maus,10.2,panzer_maus.glb,Panzer VIII Maus 10.2m,LENGTH,Germany,188000 kg,1944,13 km/h,6,2,,Heaviest tank ever built — too heavy for nearly every bridge,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Panzer_Maus_tank.jpg/1280px-Panzer_Maus_tank.jpg
9,apache_ah64,17.7,apache_ah64.glb,AH-64 Apache 17.7m,LENGTH,USA,5165 kg,1975,293 km/h,2,2400,$52000000,Its sensor is slaved to the gunner's helmet: the gun aims where he looks,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a2/AH-64_Apache.jpg/1280px-AH-64_Apache.jpg
10,b2_spirit,21.0,b2_spirit.glb,B-2 Spirit 21m,LENGTH,USA,71700 kg,1989,1010 km/h,2,21,$2100000000,Its radar signature is comparable to a small bird,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/B-2_Spirit_bomber.jpg/1280px-B-2_Spirit_bomber.jpg
11,ac130,29.8,ac130.glb,AC-130 29.8m,LENGTH,USA,34400 kg,1966,480 km/h,13,,$190000000,A cargo plane rebuilt to fire sideways while circling one point,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3c/AC-130U_Spooky.jpg/1280px-AC-130U_Spooky.jpg
12,ratte_p1000,35.0,ratte_p1000.glb,Landkreuzer P.1000 35m,LENGTH,Germany,1000000 kg,1942,40 km/h,20,0,,Designed but never built — it would have needed naval guns,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Landkreuzer_P.1000_Ratte_concept.jpg/1280px-Landkreuzer_P.1000_Ratte_concept.jpg
13,an225,84.0,an225.glb,An-225 Mriya 84m,LENGTH,Ukraine,285000 kg,1988,850 km/h,6,1,,Only one was ever completed; it carried the Soviet space shuttle,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/An-225_Mriya.jpg/1280px-An-225_Mriya.jpg
14,typhoon_sub,175.0,typhoon_sub.glb,Typhoon Class 175m,LENGTH,Soviet Union,48000000 kg,1980,44 km/h,160,6,,Large enough to hold a swimming pool and a sauna inside,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Typhoon_class_submarine.jpg/1280px-Typhoon_class_submarine.jpg
15,ford_carrier,337.0,ford_carrier.glb,USS Gerald R. Ford 337m,LENGTH,USA,100000000 kg,2017,56 km/h,4539,1,$13300000000,Its two reactors can run 20 years without refuelling,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/USS_Gerald_R._Ford_CVN-78.jpg/1280px-USS_Gerald_R._Ford_CVN-78.jpg
